Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
P16406;Enpep;Glutamyl aminopeptidase OS=Mus musculus OX=10090 GN=Enpep PE=1 SV=1;FALSE;Mouse;2;4;2;1;"cell proliferation;cellular component movement;metabolic process";"membrane;organelle lumen";"catalytic activity;metal ion binding";13809;ENSMUSG00000028024.14;Renin-angiotensin system;;0;;;;;;;;Phospho [T597(97.1)]
Q68ED3;Papd5;Non-canonical poly(A) RNA polymerase PAPD5 OS=Mus musculus OX=10090 GN=Papd5 PE=1 SV=2;FALSE;Mouse;4;8;4;1;"cell division;metabolic process;regulation of biological process";"cytoplasm;nucleus";"catalytic activity;DNA binding;metal ion binding;RNA binding";214627;;RNA degradation;;0;1.051;0.44578993;0.885768536;97.5;102.5;6.54;22.94;Phospho [T567(99.9)]
Q99MR6;Srrt;Serrate RNA effector molecule homolog OS=Mus musculus OX=10090 GN=Srrt PE=1 SV=1;FALSE;Mouse;23;67;23;1;"cell proliferation;metabolic process;regulation of biological process";"cytoplasm;nucleus";"DNA binding;protein binding;RNA binding";83701;ENSMUSG00000037364.11;;;0;1.028;0.120535211;0.858136371;98.6;101.4;3.68;1.63;Phospho [T543(98)]
Q3TCT4;Entpd7;Ectonucleoside triphosphate diphosphohydrolase 7 OS=Mus musculus OX=10090 GN=Entpd7 PE=2 SV=1;FALSE;Mouse;1;1;1;1;metabolic process;"membrane;nucleus";"catalytic activity;metal ion binding";93685;ENSMUSG00000025192.13;;;0;;;;;;;;Phospho [T514(99.9)]
Q62188;Dpysl3;Dihydropyrimidinase-related protein 3 OS=Mus musculus OX=10090 GN=Dpysl3 PE=1 SV=1;FALSE;Mouse;24;274;21;1;"cell organization and biogenesis;regulation of biological process;response to stimulus";"cytoplasm;cytosol";"catalytic activity;protein binding";22240;ENSMUSG00000024501.19;;;3;0.963;0.781286454;0.948797315;101.9;98.1;15.29;5.59;"Phospho [T509(88.8); S522(98.7)]"
Q62448;Eif4g2;Eukaryotic translation initiation factor 4 gamma 2 OS=Mus musculus OX=10090 GN=Eif4g2 PE=1 SV=2;FALSE;Mouse;26;66;26;1;"metabolic process;regulation of biological process";"cytoplasm;membrane";"protein binding;RNA binding";13690;;"Viral myocarditis; RNA transport";"Exercise-induced Circadian Regulation; mRNA processing; Exercise-induced Circadian Regulation; Translation Factors";0;0.928;0.213886799;0.858136371;103.7;96.3;6.33;3.75;Phospho [T507(89.7)]
O70475;Ugdh;UDP-glucose 6-dehydrogenase OS=Mus musculus OX=10090 GN=Ugdh PE=1 SV=1;FALSE;Mouse;17;98;17;1;metabolic process;"cytosol;nucleus";"catalytic activity;nucleotide binding";22235;ENSMUSG00000029201.14;"Metabolic pathways; Amino sugar and nucleotide sugar metabolism; Ascorbate and aldarate metabolism; Pentose and glucuronate interconversions";Glucuronidation;0;1.005;0.817905864;0.959258841;99.8;100.2;8;6.15;Phospho [T474(100)]
Q80VP1;Epn1;Epsin-1 OS=Mus musculus OX=10090 GN=Epn1 PE=1 SV=3;FALSE;Mouse;4;6;4;1;"regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;membrane;nucleus";protein binding;13854;ENSMUSG00000035203.16;Endocytosis;EGFR1 Signaling Pathway;0;0.994;0.76654386;0.945057106;100.3;99.7;21.74;9.32;Phospho [T469(99.7)]
Q60596;Xrcc1;DNA repair protein XRCC1 OS=Mus musculus OX=10090 GN=Xrcc1 PE=1 SV=2;FALSE;Mouse;9;17;9;1;"metabolic process;regulation of biological process;response to stimulus";nucleus;"DNA binding;protein binding";22594;ENSMUSG00000051768.9;Base excision repair;;0;1.044;0.11323535;0.858136371;97.9;102.1;2.86;2.02;Phospho [T452(97.8)]
O55131;Sept7;Septin-7 OS=Mus musculus OX=10090 GN=Sept7 PE=1 SV=1;FALSE;Mouse;22;197;21;1;"cell differentiation;cell division;cell growth;cell organization and biogenesis;regulation of biological process";"chromosome;cytoplasm;cytoskeleton;membrane;nucleus";"nucleotide binding;protein binding";235072;;;;1;1.021;0.937679204;0.988610357;99;101;4.18;1.71;Phospho [T425(100)]
Q9QXS1;Plec;Plectin OS=Mus musculus OX=10090 GN=Plec PE=1 SV=3;FALSE;Mouse;289;1743;282;1;"cell organization and biogenesis;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane";"protein binding;RNA binding;structural molecule activity";18810;ENSMUSG00000022565.15;;"EGFR1 Signaling Pathway; Alpha6-Beta4 Integrin Signaling Pathway";8;0.92;0.074010466;0.858136371;104.2;95.8;5.67;1.44;"Phospho [T4037(100); S4389(100)]"
Q03963;Eif2ak2;Interferon-induced, double-stranded RNA-activated protein kinase OS=Mus musculus OX=10090 GN=Eif2ak2 PE=1 SV=2;FALSE;Mouse;6;11;6;1;"cell communication;defense response;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;nucleus";"catalytic activity;nucleotide binding;protein binding;RNA binding";19106;ENSMUSG00000024079.4;"Herpes simplex infection; Epstein-Barr virus infection; Influenza A; Hepatitis C; Protein processing in endoplasmic reticulum; Viral carcinogenesis; Measles";"mRNA processing; Toll Like Receptor signaling; Type II interferon signaling (IFNG); Translation Factors";0;1.029;0.919280975;0.985123128;98.6;101.4;6.44;8.61;Phospho [T399(90.5)]
Q9WTQ5;Akap12;A-kinase anchor protein 12 OS=Mus musculus OX=10090 GN=Akap12 PE=1 SV=1;FALSE;Mouse;39;80;39;1;"metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytoskeleton;cytosol;membrane";"catalytic activity;protein binding;structural molecule activity";83397;ENSMUSG00000038587.9;;G Protein Signaling Pathways;0;0.967;0.766768875;0.945057106;101.7;98.3;8.81;11.45;Phospho [T344(100)]
A2AMM0;"Murc; Cavin4";Caveolae-associated protein 4 OS=Mus musculus OX=10090 GN=Cavin4 PE=1 SV=1;FALSE;Mouse;8;19;8;1;"cell differentiation;cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane";enzyme regulator activity;68016;ENSMUSG00000028348.7;;;0;1.203;0.143448184;0.858136371;90.8;109.2;14.12;8.61;Phospho [T334(100)]
F8VPU2;Farp1;FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Farp1 PE=1 SV=1;FALSE;Mouse;15;17;14;1;"cell organization and biogenesis;development;regulation of biological process";"cytoplasm;cytoskeleton;cytosol;membrane";protein binding;223254;ENSMUSG00000025555.14;;;1;0.982;0.271780815;0.862578915;100.9;99.1;3.86;2.12;Phospho [T24(90.9)]
P97855;G3bp1;Ras GTPase-activating protein-binding protein 1 OS=Mus musculus OX=10090 GN=G3bp1 PE=1 SV=1;FALSE;Mouse;12;102;11;1;"metabolic process;regulation of biological process;transport";"cytoplasm;cytosol;membrane;nucleus";"catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding";27041;ENSMUSG00000018583.5;;mRNA processing;0;1.128;0.008633338;0.858136371;94;106;3.18;3.37;Phospho [T230(79.1)]
P97379;G3bp2;Ras GTPase-activating protein-binding protein 2 OS=Mus musculus OX=10090 GN=G3bp2 PE=1 SV=2;FALSE;Mouse;13;51;12;1;"cell organization and biogenesis;regulation of biological process;response to stimulus;transport";cytosol;RNA binding;23881;ENSMUSG00000029405.16;;TNF-alpha NF-kB Signaling Pathway;1;1.076;0.043943306;0.858136371;96.3;103.7;3.03;3.75;Phospho [T227(97.1)]
P62908;Rps3;40S ribosomal protein S3 OS=Mus musculus OX=10090 GN=Rps3 PE=1 SV=1;FALSE;Mouse;17;190;17;1;"cell death;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;membrane;mitochondrion;nucleus;organelle lumen;ribosome";"catalytic activity;DNA binding;protein binding;RNA binding;structural molecule activity";27050;ENSMUSG00000030744.13;Ribosome;Cytoplasmic Ribosomal Proteins;0;0.902;0.03511749;0.858136371;105.2;94.8;4.46;2.48;Phospho [T221(99.9)]
O88990;Actn3;Alpha-actinin-3 OS=Mus musculus OX=10090 GN=Actn3 PE=2 SV=1;FALSE;Mouse;23;83;15;1;"cell differentiation;regulation of biological process;response to stimulus";;"metal ion binding;protein binding";11474;ENSMUSG00000006457.3;"Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Focal adhesion; Adherens junction; Tight junction; Systemic lupus erythematosus; Amoebiasis; Viral carcinogenesis";Striated Muscle Contraction;0;1.157;0.825083624;0.960455294;92.7;107.3;43.37;26.6;Phospho [T220(99.7)]
Q8C2Q3;Rbm14;RNA-binding protein 14 OS=Mus musculus OX=10090 GN=Rbm14 PE=1 SV=1;FALSE;Mouse;23;105;23;1;"cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;nucleus";RNA binding;56275;ENSMUSG00000006456.10;;mRNA processing;0;1.158;0.083665068;0.858136371;92.7;107.3;6.58;0.77;Phospho [T206(100)]
Q3THE2;Myl12b;Myosin regulatory light chain 12B OS=Mus musculus OX=10090 GN=Myl12b PE=1 SV=2;FALSE;Mouse;11;204;5;1;regulation of biological process;;"metal ion binding;protein binding";67938;ENSMUSG00000034868.8;"Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Focal adhesion; Platelet activation; Tight junction";;12;1.088;0.386106825;0.879342554;95.8;104.2;9.96;1.99;Phospho [T19(92)]
Q9CQ19;Myl9;Myosin regulatory light polypeptide 9 OS=Mus musculus OX=10090 GN=Myl9 PE=1 SV=3;FALSE;Mouse;9;165;3;1;;;"metal ion binding;protein binding";98932;ENSMUSG00000067818.6;"Oxytocin signaling pathway; Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Focal adhesion; cGMP-PKG signaling pathway; cAMP signaling pathway; Vascular smooth muscle contraction; Tight junction";Striated Muscle Contraction;0;1.098;0.472902012;0.890106194;95.3;104.7;24.26;9.61;Phospho [T19(92)]
O08784;Tcof1;Treacle protein OS=Mus musculus OX=10090 GN=Tcof1 PE=1 SV=1;FALSE;Mouse;33;113;32;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"cytosol;nucleus";"protein binding;RNA binding";21453;ENSMUSG00000024613.16;Ribosome biogenesis in eukaryotes;;0;1.113;0.053720256;0.858136371;94.7;105.3;6.88;1.79;"Phospho [T171(86.3); T803(100); S1216(100); S1303(100)]"
Q8BMS1;Hadha;Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Hadha PE=1 SV=1;FALSE;Mouse;28;166;28;1;"metabolic process;response to stimulus";"membrane;mitochondrion;organelle lumen";"catalytic activity;nucleotide binding;protein binding";97212;ENSMUSG00000025745.11;"Fatty acid metabolism; Tryptophan metabolism; Valine, leucine and isoleucine degradation; Metabolic pathways; Lysine degradation; Fatty acid degradation; Butanoate metabolism; beta-Alanine metabolism; Propanoate metabolism; Fatty acid elongation; Carbon metabolism; Biosynthesis of unsaturated fatty acids";"Mitochondrial LC-Fatty Acid Beta-Oxidation; Fatty Acid Beta Oxidation";0;0.99;0.590735828;0.911455744;100.5;99.5;9.54;4.56;"Phospho [T167(100); E173(100); T185(82.6)]"
Q61033;Tmpo;Lamina-associated polypeptide 2, isoforms alpha/zeta OS=Mus musculus OX=10090 GN=Tmpo PE=1 SV=4;FALSE;Mouse;22;95;15;1;regulation of biological process;"chromosome;membrane;nucleus";"DNA binding;protein binding";21917;ENSMUSG00000019961.17;;;8;0.968;0.901160003;0.978217026;101.6;98.4;3.7;4.88;Phospho [T159(89.6)]
Q61029;Tmpo;Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma OS=Mus musculus OX=10090 GN=Tmpo PE=1 SV=4;FALSE;Mouse;15;110;8;1;regulation of biological process;"chromosome;membrane;nucleus";"DNA binding;protein binding";21917;ENSMUSG00000019961.17;;;0;0.885;0.093728339;0.858136371;106.1;93.9;5.98;6.36;"Phospho [T159(89.6); S183(100)]"
Q9Z0P4;Palm;Paralemmin-1 OS=Mus musculus OX=10090 GN=Palm PE=1 SV=1;FALSE;Mouse;16;45;15;1;"cell organization and biogenesis;regulation of biological process;response to stimulus";"cytoplasm;membrane;nucleus";protein binding;18483;ENSMUSG00000035863.14;;;0;0.963;0.386873498;0.879342554;101.9;98.1;6.13;1.92;Phospho [T145(100)]
Q80UG5;Sept9;Septin-9 OS=Mus musculus OX=10090 GN=Sept9 PE=1 SV=1;FALSE;Mouse;29;178;29;1;"cell division;cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton";"catalytic activity;nucleotide binding;protein binding";53860;ENSMUSG00000059248.13;Bacterial invasion of epithelial cells;;0;1.001;0.980890204;0.997773247;99.9;100.1;5.76;0.68;Phospho [T143(99.7)]
Q69ZA1;Cdk13;Cyclin-dependent kinase 13 OS=Mus musculus OX=10090 GN=Cdk13 PE=1 SV=3;FALSE;Mouse;10;33;8;1;"metabolic process;regulation of biological process";"chromosome;cytosol;Golgi;nucleus";"catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding";69562;ENSMUSG00000041297.7;;;0;1.073;0.042801112;0.858136371;96.5;103.5;3.4;2.93;Phospho [T1245(100)]
P61979;Hnrnpk;Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus OX=10090 GN=Hnrnpk PE=1 SV=1;FALSE;Mouse;22;249;22;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;mitochondrion;nucleus;spliceosomal complex";"DNA binding;protein binding;RNA binding";15387;ENSMUSG00000021546.17;"Herpes simplex infection; MicroRNAs in cancer; Spliceosome; Viral carcinogenesis";mRNA processing;0;1.085;0.10050704;0.858136371;95.9;104.1;7.94;3.13;Phospho [T118(91.8)]
Q9D8T7;Slirp;SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Mus musculus OX=10090 GN=Slirp PE=1 SV=2;FALSE;Mouse;3;9;3;1;"cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process";"cytoplasm;mitochondrion;nucleus";RNA binding;380773;ENSMUSG00000021040.15;;mRNA processing;0;1.087;0.080532638;0.858136371;95.8;104.2;4.62;2.59;Phospho [T104(90.1)]
Q8R0J7;Vps37b;Vacuolar protein sorting-associated protein 37B OS=Mus musculus OX=10090 GN=Vps37b PE=1 SV=1;FALSE;Mouse;2;2;2;1;"regulation of biological process;transport";"cytoplasm;endosome;membrane";protein binding;330192;ENSMUSG00000066278.6;Endocytosis;;0;;;;;;;;Phospho [S98(77.1)]
Q8VD04;Gripap1;GRIP1-associated protein 1 OS=Mus musculus OX=10090 GN=Gripap1 PE=1 SV=1;FALSE;Mouse;18;21;18;1;"metabolic process;regulation of biological process;transport";"cytosol;endosome;membrane";"catalytic activity;motor activity;protein binding";54645;ENSMUSG00000031153.16;;;0;1.042;0.231444669;0.858136371;97.9;102.1;6.03;7.59;Phospho [S94(90.2)]
Q61686;Cbx5;Chromobox protein homolog 5 OS=Mus musculus OX=10090 GN=Cbx5 PE=1 SV=1;FALSE;Mouse;8;43;8;1;regulation of biological process;"chromosome;nucleus";protein binding;12419;ENSMUSG00000009575.14;;;0;1.034;0.109892504;0.858136371;98.3;101.7;2.78;4.18;Phospho [S93(99.6)]
Q8BGD9;Eif4b;Eukaryotic translation initiation factor 4B OS=Mus musculus OX=10090 GN=Eif4b PE=1 SV=1;FALSE;Mouse;19;135;19;1;"cell organization and biogenesis;metabolic process";;RNA binding;75705;ENSMUSG00000058655.8;"mTOR signaling pathway; Proteoglycans in cancer; PI3K-Akt signaling pathway; RNA transport";"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Translation Factors";0;1.178;0.008640095;0.858136371;91.8;108.2;3.9;2.37;"Phospho [S93(100); S445(100)]"
Q9ET54;Palld;Palladin OS=Mus musculus OX=10090 GN=Palld PE=1 SV=2;FALSE;Mouse;18;87;18;1;"cell organization and biogenesis;cellular component movement;regulation of biological process";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";protein binding;72333;ENSMUSG00000058056.16;;;0;1.143;0.231669833;0.858136371;93.3;106.7;10.7;3.23;Phospho [S901(100)]
Q3TLH4;Prrc2c;Protein PRRC2C OS=Mus musculus OX=10090 GN=Prrc2c PE=1 SV=3;FALSE;Mouse;46;124;44;1;cell differentiation;membrane;"protein binding;RNA binding";226562;ENSMUSG00000040225.15;;;2;1.106;0.017283332;0.858136371;95;105;4.47;3.69;"Phospho [S899(83.5); S2646(96.1)]"
Q9Z0R4;Itsn1;Intersectin-1 OS=Mus musculus OX=10090 GN=Itsn1 PE=1 SV=2;FALSE;Mouse;24;47;23;1;"cell differentiation;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport";"cytosol;membrane";"catalytic activity;enzyme regulator activity;metal ion binding;nucleotide binding;protein binding;structural molecule activity";16443;ENSMUSG00000022957.19;;;1;1.157;0.126271982;0.858136371;92.7;107.3;10.71;3.72;Phospho [S897(100)]
Q9D952;Evpl;Envoplakin OS=Mus musculus OX=10090 GN=Evpl PE=1 SV=3;FALSE;Mouse;1;1;1;1;"cell differentiation;metabolic process";"cytoplasm;cytoskeleton;cytosol";"protein binding;structural molecule activity";14027;ENSMUSG00000034282.3;;;0;0.924;0.431144953;0.884560905;103.9;96.1;35.01;19.88;Phospho [S852(94.1)]
Q8BIA4;Fbxw8;F-box/WD repeat-containing protein 8 OS=Mus musculus OX=10090 GN=Fbxw8 PE=1 SV=2;FALSE;Mouse;6;12;6;1;"cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process";"cytoplasm;cytosol;Golgi";"catalytic activity;protein binding";231672;ENSMUSG00000032867.8;Ubiquitin mediated proteolysis;;0;1.136;0.462442356;0.88758234;93.6;106.4;18.57;9.25;Phospho [S84(90.1)]
Q9DBC7;Prkar1a;cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Mus musculus OX=10090 GN=Prkar1a PE=1 SV=3;FALSE;Mouse;12;61;12;1;"cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process";"cytoplasm;membrane";"enzyme regulator activity;nucleotide binding;protein binding";19084;ENSMUSG00000020612.16;Insulin signaling pathway;"Myometrial Relaxation and Contraction Pathways; Calcium Regulation in the Cardiac Cell; G Protein Signaling Pathways; EGFR1 Signaling Pathway";0;1.119;0.213814749;0.858136371;94.4;105.6;8.99;3.84;Phospho [S83(99.9)]
P26369;U2af2;Splicing factor U2AF 65 kDa subunit OS=Mus musculus OX=10090 GN=U2af2 PE=1 SV=3;FALSE;Mouse;10;65;10;1;"metabolic process;regulation of biological process";"nucleus;spliceosomal complex";"protein binding;RNA binding";22185;ENSMUSG00000030435.16;Spliceosome;mRNA processing;0;1.066;0.246334685;0.858136371;96.8;103.2;10.29;2.55;Phospho [S79(100)]
Q6PGL7;"D6Wsu116e; Fam21; Washc2";WASH complex subunit 2 OS=Mus musculus OX=10090 GN=Washc2 PE=1 SV=1;FALSE;Mouse;32;65;32;1;transport;"cytosol;endosome;membrane";;28006;ENSMUSG00000024104.11;Endocytosis;;0;1.101;0.09619087;0.858136371;95.2;104.8;8.1;1.06;"Phospho [S747(100); S832(91.3)]"
P15379;Cd44;CD44 antigen OS=Mus musculus OX=10090 GN=Cd44 PE=1 SV=3;FALSE;Mouse;8;96;8;1;"cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus";"cell surface;cytosol;Golgi;membrane;nucleus";"protein binding;receptor activity;signal transducer activity";12505;;"MicroRNAs in cancer; Epstein-Barr virus infection; Proteoglycans in cancer; ECM-receptor interaction; Hematopoietic cell lineage";"Wnt Signaling Pathway and Pluripotency; PluriNetWork";0;0.938;0.444824785;0.885768536;103.2;96.8;9.12;5.18;Phospho [S742(100)]
Q3UJB9;Edc4;Enhancer of mRNA-decapping protein 4 OS=Mus musculus OX=10090 GN=Edc4 PE=1 SV=2;FALSE;Mouse;16;30;16;1;metabolic process;"cytoplasm;membrane;nucleus";protein binding;234699;;RNA degradation;;0;0.949;0.550492534;0.900328962;102.6;97.4;8.39;2.1;Phospho [S729(97.5)]
Q01768;Nme2;Nucleoside diphosphate kinase B OS=Mus musculus OX=10090 GN=Nme2 PE=1 SV=1;FALSE;Mouse;6;75;3;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;mitochondrion;nucleus";"catalytic activity;metal ion binding;nucleotide binding;protein binding";18103;ENSMUSG00000020857.11;"Metabolic pathways; Purine metabolism; Pyrimidine metabolism";"Purine metabolism; Nucleotide Metabolism; PluriNetWork";0;0.974;0.4939117;0.890367513;101.3;98.7;7.92;7.8;Phospho [S70(92.6)]
